x, y0
, 
um, um
0, 0.000292809
1.98397, -0.0454169
3.96794, -0.0615114
5.9519, -0.09738
7.93587, -0.0758934
9.91984, -0.0534049
11.9038, -0.00288179
13.8878, 0.0328153
15.8717, 0.0347835
17.8557, 0.014984
19.8397, -0.0185578
21.8237, -0.0526312
23.8076, -0.0670471
25.7916, -0.0554158
27.7756, -0.0610886
29.7595, -0.0748441
31.7435, -0.114385
33.7275, -0.150397
35.7114, -0.17943
37.6954, -0.187454
39.6794, -0.156433
41.6633, -0.119849
43.6473, -0.0652444
45.6313, -0.0342705
47.6152, -0.00360736
49.5992, 0.04958
51.5832, 0.071772
53.5671, 0.0764493
55.5511, 0.0839606
57.5351, 0.098804
59.519, 0.11905
61.503, 0.140757
63.487, 0.140822
65.471, 0.131012
67.4549, 0.106528
69.4389, 0.104941
71.4229, 0.0808169
73.4068, 0.0878763
75.3908, 0.106848
77.3748, 0.105665
79.3587, 0.0717391
81.3427, 0.0381421
83.3267, 0.0723384
85.3106, 0.0666738
87.2946, 0.0494976
89.2786, 0.0436918
91.2625, 0.0495674
93.2465, 0.0446408
95.2305, 0.031004
97.2144, 0.0163693
99.1984, 0.0109439
101.182, -0.00475397
103.166, -0.0128068
105.15, 0.00230656
107.134, 0.0287883
109.118, 0.0567709
111.102, 0.072103
113.086, 0.0812582
115.07, 0.0898716
117.054, 0.0819925
119.038, 0.0884814
121.022, 0.0925024
123.006, 0.0769681
124.99, 0.0493375
126.974, 0.0119497
128.958, 0.00561846
130.942, 0.015295
132.926, 0.033821
134.91, 0.0262036
136.894, 0.0118348
138.878, -0.0043763
140.862, -0.0117319
142.846, 0.0193995
144.83, 0.0487602
146.814, 0.0570402
148.798, 0.069015
150.782, 0.0464899
152.766, 0.0470411
154.75, 0.0682149
156.733, 0.0983525
158.717, 0.135792
160.701, 0.15843
162.685, 0.198468
164.669, 0.190703
166.653, 0.184329
168.637, 0.18242
170.621, 0.153381
172.605, 0.18195
174.589, 0.224239
176.573, 0.261716
178.557, 0.295505
180.541, 0.297311
182.525, 0.291801
184.509, 0.287716
186.493, 0.275304
188.477, 0.270038
190.461, 0.286858
192.445, 0.308903
194.429, 0.332796
196.413, 0.308876
198.397, 0.140129
200.381, 0.529052
202.365, 0.51114
204.349, 0.459509
206.333, 0.441581
208.317, 0.367058
210.301, 0.290632
212.285, 0.317747
214.269, 0.295551
216.253, 0.237075
218.237, 0.21078
220.22, 0.185896
222.204, 0.176358
224.188, 0.125357
226.172, 0.101493
228.156, 0.0247161
230.14, 0.0129849
232.124, 0.0440509
234.108, -0.0680434
236.092, -0.12386
238.076, -0.106086
240.06, -0.158736
242.044, -0.153316
244.028, -0.124757
246.012, -0.0959299
247.996, -0.6405
249.98, -0.29668
251.964, -0.282209
253.948, -0.304761
255.932, -0.333317
257.916, -0.334521
259.9, -0.365625
261.884, -0.424098
263.868, -0.316405
265.852, -0.386496
267.836, -0.401756
269.82, -0.438058
271.804, -0.460084
273.788, -0.53409
275.772, -0.619618
277.756, -0.744698
279.74, -0.555354
281.723, -0.505673
283.707, -0.500996
285.691, -0.511539
287.675, -0.536307
289.659, -0.536512
291.643, -0.537276
293.627, -0.545709
295.611, -0.540461
297.595, -0.541084
299.579, -0.534734
301.563, -0.535068
303.547, -0.564868
305.531, -0.551405
307.515, -0.53176
309.499, -0.472159
311.483, -0.313392
313.467, -0.835346
315.451, -0.676521
317.435, -0.503311
319.419, -0.503891
321.403, -0.608992
323.387, -0.786246
325.371, -0.48773
327.355, -0.499402
329.339, -0.502431
331.323, -0.474105
333.307, -0.431141
335.291, -0.429531
337.275, -0.430419
339.259, -0.405638
341.243, -0.478477
343.227, -0.394764
345.21, -0.38151
347.194, -0.349718
349.178, -0.336336
351.162, -0.390464
353.146, -0.503006
355.13, -0.417719
357.114, -0.336338
359.098, -0.323046
361.082, -0.301314
363.066, -0.279102
365.05, -0.256814
367.034, -0.223161
369.018, -0.209455
371.002, -0.176448
372.986, -0.157765
374.97, -0.147771
376.954, -0.127503
378.938, -0.109783
380.922, -0.0841458
382.906, -0.0610704
384.89, -0.0441884
386.874, -0.0215997
388.858, -0.0200446
390.842, 0.0186112
392.826, 0.0911411
394.81, 0.15914
396.794, 0.146499
398.778, 0.113591
400.762, 0.106636
402.746, 0.38184
404.73, 0.309386
406.713, 0.269916
408.697, 0.230808
410.681, 0.394236
412.665, 0.395794
414.649, 0.400796
416.633, 0.395209
418.617, 0.441726
420.601, 0.507865
422.585, 0.528246
424.569, 0.510237
426.553, 0.32776
428.537, 0.264626
430.521, 0.146622
432.505, 0.0618231
434.489, -0.00651915
436.473, -0.0376278
438.457, -0.0535485
440.441, -0.0738776
442.425, -0.0797835
444.409, -0.0686062
446.393, -0.07634
448.377, -0.0728098
450.361, -0.0553552
452.345, -0.0577014
454.329, -0.0728513
456.313, -0.0774956
458.297, -0.0920281
460.281, -0.0873548
462.265, -0.0760486
464.249, -0.0715328
466.233, -0.0581758
468.217, -0.0586716
470.2, -0.0422782
472.184, -0.0205421
474.168, -0.000429538
476.152, 8.07389e-005
478.136, 0.0162308
480.12, 0.055365
482.104, 0.0966911
484.088, 0.125111
486.072, 0.153035
488.056, 0.140874
490.04, 0.109949
492.024, 0.0937689
494.008, 0.078711
495.992, 0.0836521
497.976, 0.0923329
499.96, 0.0970798
501.944, 0.128806
503.928, 0.120857
505.912, 0.0908633
507.896, 0.0710904
509.88, 0.0409959
511.864, 0.0250609
513.848, 0.0228722
515.832, 0.0465486
517.816, 0.0627498
519.8, 0.0876163
521.784, 0.109792
523.768, 0.145784
525.752, 0.18173
527.736, 0.211706
529.72, 0.223167
531.703, 0.253793
533.687, 0.266773
535.671, 0.291703
537.655, 0.319105
539.639, 0.329373
541.623, 0.297227
543.607, 0.266148
545.591, 0.231885
547.575, 0.208723
549.559, 0.21927
551.543, 0.231726
553.527, 0.230107
555.511, 0.20719
557.495, 0.187205
559.479, 0.150873
561.463, 0.0569458
563.447, -0.0241573
565.431, -0.0681412
567.415, -0.0878528
569.399, -0.0900681
571.383, -0.0870695
573.367, -0.0780022
575.351, -0.0390499
577.335, -0.0190273
579.319, 0.0186041
581.303, 0.031135
583.287, 0.0490169
585.271, 0.0607259
587.255, 0.092669
589.239, 0.101935
591.223, 0.0921949
593.207, 0.0819134
595.19, 0.0525304
597.174, 0.0131797
599.158, 0.00294523
601.142, -0.0364443
603.126, -0.0950068
605.11, -0.140743
607.094, -0.164824
609.078, -0.173521
611.062, -0.160747
613.046, -0.15078
615.03, -0.12962
617.014, -0.0987876
618.998, -0.0555435
